MESE;ANNO;OWNER;COD;CLIENTE;VENDITA;ACQUISTO MATERIALE;SPEDIZIONE UTAX;TRASPORTATORE CRISTIAN;INSTALLAZIONE;COSTO COPIE + ASSISTENZA INFORMATICA;TOP UP;TOTALE COSTI;MARGINE LORDO;"ML/Rev
 (%)";"TSP ML
(%)";"TSP ML
(Euro)";PROVV. COMM.LE;PAGATA;NOTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;ANTONIO;1;TSUNAMI;18.471,00 €;12.182,40 €;72,54 €;;100,00 €;;;12.354,94 €;6.116,06 €;33,11%;50%;3.058,03 €;3.058,03 €; X ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;FABRIZIO;1;AGENZIA FUNEBRE;5.035,55 €;2.200,00 €;39,80 €;190,00 €;200,00 €;;;2.629,80 €;2.405,75 €;47,78%;60%;1.443,45 €;962,30 €; X ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;NINO;1;ELETTROSERVICE;40.254,30 €;14.510,00 €;323,80 €;;1.000,00 €;630,00 €;4.815,00 €;21.278,80 €;18.975,50 €;47,14%;50%;9.487,75 €;9.487,75 €; X ;665€ finanziato - 305€ costo copia diretto;provvigioni riconosciute a Nino 7815,50 - dare differenza € 1672,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;NINO;1;PHARMARTE;1.932,20 €;365,00 €;7,30 €;;100,00 €;473,00 €;;945,30 €;986,90 €;51,08%;50%;493,45 €;493,45 €; X ;;provvigioni riconosciute a Nino 741,00 - Nino deve ridare € 247,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;NINO;1;SACER;3.520,29 €;920,00 €;18,40 €;;100,00 €;300,00 €;19,22 €;1.357,62 €;2.162,67 €;61,43%;50%;1.081,34 €;1.081,34 €; X ;;provvigioni riconosciute a Nino 1165,15 - Nino deve ridare € 83,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;NINO;1;RICAMBI E OFFICINA BETTOLO;24.705,00 €;22.000,00 €;;;;;;22.000,00 €;2.705,00 €;10,95%;50%;1.352,50 €;1.352,50 €; X ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;NINO;1;COLOMBIANO;6.861,57 €;281,96 €;;180,00 €;100,00 €;1.296,00 €;5.490,44 €;7.348,40 €;-486,83 €;-7,10%;50%;-243,42 €;-243,42 €; X ;;da considerare in futuro il valore stampanti ritirate come entroito;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;RENATO/DIEGO;1;EMEK KEBAB;5.369,93 €;1.098,85 €;;;100,00 €;1.860,42 €;100,00 €;3.159,27 €;2.210,66 €;41,17%;90%;1.989,59 €;221,07 €; X ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;RENATO/DIEGO;2;COOP GRUPPO NEW HOUSE;3.080,56 €;700,00 €;;;50,00 €;737,40 €;720,00 €;2.207,40 €;873,16 €;28,34%;90%;785,84 €;87,32 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENNAIO;2025;RENATO/DIEGO;1;RUGIADA SRL;1.688,33 €;313,39 €;;;50,00 €;820,80 €;;1.184,19 €;504,14 €;29,86%;90%;453,73 €;50,41 €; X ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
